patent_id,inventor_id,company_id
10024147,fl:ty_ln:eiman-1,0ed3b5da-e166-4ce8-bb57-768914cc7e2e
10006046,fl:jo_ln:korte-5,76bfedeb-c249-4c5a-9fb1-87c5a5ae43a0
10003675,fl:se_ln:eilert-3,e26f6502-4416-481e-b15a-e69178b15dfc
10002661,fl:ro_ln:sautter-1,29b8f534-149e-443c-b76b-3c4a222da89c
10009916,fl:an_ln:bury-2,55715b8e-9037-47c9-8e27-a2acf13d6047
10016284,fl:er_ln:sugalski-2,1caa7422-aaee-4733-8749-4ed64dab2b57
10003214,fl:ru_ln:hum-1,b904f566-62d6-44a5-8689-7b5c5a3a1a19
10005545,fl:jo_ln:meyer-36,192aadf9-5c44-4d77-9c19-cb40c53c9046
10006082,fl:yu_ln:goltsev-2,ccd8d314-8428-4369-a07a-f303224a173a
10007673,fl:de_ln:ting-2,02301435-a838-43cb-899d-d54d2579d6b6
10014581,fl:st_ln:keller-14,bda47ad5-fd60-4a4a-a69a-1d4eb607f2a2
10016190,fl:ma_ln:cornell-5,d6f2fdd3-5020-44aa-8aa1-ec9819af2e4a
10014039,fl:je_ln:ihm-2,533e0469-baac-46b7-9576-669db08092eb
10014604,fl:yo_ln:tanabe-8,635e6e51-360a-456c-9d2d-36bc4333156c
10008157,fl:ju_ln:kim-659,956c0a58-ac23-4951-9d3a-3af066ec8744
10000437,fl:gi_ln:nguyen-13,b34f726f-c6f5-4e9c-b39b-3be08fd1e36a
10004068,fl:li_ln:chai-12,66e2c62e-301f-42e2-a6de-b62c87f792e5
10010880,fl:wa_ln:baratta-2,37bfeed8-b646-48ed-83a9-ef08dd63a7bb
10007656,fl:ha_ln:yu-179,29b8f534-149e-443c-b76b-3c4a222da89c
10018786,fl:ho_ln:kim-189,47207a0d-8b8a-4b48-9b5d-c5557f0e5fca
10008394,fl:jo_ln:strogies-1,f68061b9-5827-43c8-8f62-33cae08b6d16
10006658,fl:ma_ln:takagi-39,74c11be2-20ec-49fe-ac26-d839d375bd32
10018060,fl:ca_ln:helvaci-1,c225b866-c934-43b6-9f0a-0d206158dd5b
10002834,fl:sr_ln:guggilla-1,69a10d5a-b7d5-4de3-8ffb-1b8a92b69475
10000567,fl:sh_ln:dotan-2,8fc2f2c2-3db9-40e7-a7b2-41b0c57c5207
10017439,fl:ch_ln:ma-84,3b090366-c52e-4642-ba51-24dd30acdf6b
10004410,fl:ma_ln:davila-7,25a3778b-47e4-402e-b188-d941c7e3c397
10012756,fl:ch_ln:stoller-1,7cf2d872-7724-49cd-81aa-d231c9283a40
10010455,fl:lo_ln:roocks-1,1375ccb4-bb29-432c-b832-4d0044acc7b9
10015615,fl:yu_ln:mitsufuji-1,55bc7465-2823-418d-9835-41d555c610a6
10018381,fl:mi_ln:xu-130,36e660b1-d812-4367-8634-7af8abc99307
10012843,fl:sa_ln:mitchell-6,0f4139b9-4113-4ca4-a7e6-c2a9199881cf
10015996,fl:ia_ln:murison-1,b3e60c64-409d-43cc-b04c-75f8c9d08530
10013778,fl:jo_ln:yi-14,533e0469-baac-46b7-9576-669db08092eb
10012619,fl:ky_ln:kim-48,533e0469-baac-46b7-9576-669db08092eb
10015336,fl:sa_ln:katayama-2,15396827-1340-4368-866f-bf9007f43098
10014224,fl:ch_ln:jeng-6,88c962da-6df3-4f86-85ba-14c24c3cb600
10016415,fl:ma_ln:hickey-3,01326f41-3c37-43b8-8360-8aefd7291ae1
10017540,fl:ar_ln:nag-3,7385c5f4-3dd4-4af5-b395-b0b5e8fe0b00
10008374,fl:zh_ln:ouyang-8,4e61fd34-7bff-47a0-a2e1-edb2b7b4826b
10010314,fl:ri_ln:lunn-2,e22cd790-ca8d-415d-a2c6-c9f0a3787707
10008731,fl:by_ln:kim-226,8108dc20-305d-4730-8c84-8b15d0404cc0
10005281,fl:ka_ln:abe-26,5b0b2179-927c-48dd-a8ee-211adb1d7e7a
10003315,fl:ar_ln:tajalli-1,460cd234-f935-47df-98f9-90746cc77bc7
10019135,fl:ro_ln:morris-41,508afd03-1cfa-47e1-a092-bf855c97ce32
10016927,fl:wo_ln:hahn-4,4b8f021f-e3f1-4159-8372-29e1e3573a1e
10020284,fl:yu_ln:chang-171,88c962da-6df3-4f86-85ba-14c24c3cb600
10014966,fl:ja_ln:mcdonald-36,c06a0569-b865-4dc9-a4e6-4316d02d802e
10005997,fl:sa_ln:shin-38,7d11cbd7-9495-4939-8d50-932d18390210
10015521,fl:st_ln:fishwick-1,0311be49-979c-427c-afd0-6554cf022f06
10005835,fl:ot_ln:boussif-1,1ebc6d3b-2d8c-4f0c-a205-0a36f72d0449
